time_boot_ms,time_boot_s,luminosity
665340,665.34,0
665470,665.47,0
665600,665.6,0
665730,665.73,0
665860,665.86,0
665990,665.99,0
666130,666.13,0
666270,666.27,0
666410,666.41,0
666540,666.54,0
666670,666.67,0
666820,666.82,0
666950,666.95,0
667080,667.08,0
667210,667.21,0
667340,667.34,0
667500,667.5,0
667630,667.63,0
667780,667.78,0
667910,667.91,0
668040,668.04,0
668170,668.17,0
668300,668.3,0
668430,668.43,0
668570,668.57,0
668700,668.7,0
668830,668.83,0
668960,668.96,0
669100,669.1,0
669230,669.23,0
669360,669.36,0
669490,669.49,0
669620,669.62,0
669750,669.75,0
669880,669.88,0
670010,670.01,0
670140,670.14,0
670290,670.29,0
670430,670.43,0
670560,670.56,0
670690,670.69,0
670830,670.83,0
670990,670.99,0
671120,671.12,0
671250,671.25,0
671380,671.38,0
671510,671.51,0
671640,671.64,0
671800,671.8,0
671930,671.93,0
672060,672.06,0
672190,672.19,0
672320,672.32,0
672450,672.45,0
672580,672.58,0
672710,672.71,0
672840,672.84,0
672970,672.97,0
673110,673.11,0
673240,673.24,0
673370,673.37,0
673500,673.5,0
673630,673.63,0
673770,673.77,0
673900,673.9,0
674030,674.03,0
674160,674.16,0
674290,674.29,0
674460,674.46,0
674590,674.59,0
674720,674.72,0
674850,674.85,0
674980,674.98,0
675110,675.11,0
675250,675.25,0
675400,675.4,0
675530,675.53,0
675660,675.66,0
675800,675.8,0
675930,675.93,0
676060,676.06,0
676190,676.19,0
676320,676.32,0
676450,676.45,0
676580,676.58,0
676710,676.71,0
676840,676.84,0
676970,676.97,0
677110,677.11,0
677240,677.24,0
677370,677.37,0
677500,677.5,0
677630,677.63,0
677770,677.77,0
677900,677.9,0
678060,678.06,0
678190,678.19,0
678320,678.32,0
678460,678.46,0
678590,678.59,0
678720,678.72,0
678850,678.85,0
678980,678.98,0
679110,679.11,0
679240,679.24,0
679380,679.38,0
679510,679.51,0
679640,679.64,0
679800,679.8,0
679940,679.94,0
680080,680.08,0
680210,680.21,0
680340,680.34,0
680480,680.48,0
680610,680.61,0
680740,680.74,0
680870,680.87,0
681000,681,0
681140,681.14,0
681290,681.29,0
681420,681.42,0
681570,681.57,0
681700,681.7,0
681830,681.83,0
681960,681.96,0
682090,682.09,0
