time_boot_ms,,press_abs,press_diff,temperature,temperature_c
663200,663.2,993.974853515625,1.10373345771153E-19,3056,30.56
663330,663.33,993.971130371094,1.10373345771153E-19,3056,30.56
663460,663.46,993.975219726562,1.10373345771153E-19,3057,30.57
663590,663.59,993.988098144531,1.10373345771153E-19,3056,30.56
663730,663.73,993.972473144531,1.10373345771153E-19,3057,30.57
663880,663.88,993.977294921875,1.10373345771153E-19,3058,30.58
664010,664.01,994.015747070313,1.10373345771153E-19,3059,30.59
664140,664.14,993.998413085938,1.10373345771153E-19,3059,30.59
664290,664.29,993.99462890625,1.10373345771153E-19,3058,30.58
664420,664.42,993.998718261719,1.10373345771153E-19,3059,30.59
664550,664.55,993.970520019531,1.10373345771153E-19,3058,30.58
664680,664.68,993.961364746094,1.10373345771153E-19,3059,30.59
664810,664.81,994.012329101563,1.10373345771153E-19,3059,30.59
664940,664.94,994.0126953125,1.10373345771153E-19,3059,30.59
665080,665.08,993.965087890625,1.10373345771153E-19,3059,30.59
665210,665.21,994.030700683594,1.10373345771153E-19,3060,30.6
665340,665.34,994.020202636719,1.10373345771153E-19,3060,30.6
665470,665.47,994.030395507813,1.10373345771153E-19,3060,30.6
665600,665.6,994.022888183594,1.10373345771153E-19,3059,30.59
665730,665.73,994.019104003906,1.10373345771153E-19,3059,30.59
665860,665.86,994.013061523438,1.10373345771153E-19,3059,30.59
665990,665.99,994.034118652344,1.10373345771153E-19,3060,30.6
666130,666.13,993.982421875,1.10373345771153E-19,3059,30.59
666270,666.27,994.00048828125,1.10373345771153E-19,3060,30.6
666410,666.41,993.9892578125,1.10373345771153E-19,3059,30.59
666540,666.54,993.979064941406,1.10373345771153E-19,3059,30.59
666670,666.67,993.949157714844,1.10373345771153E-19,3060,30.6
666820,666.82,993.992614746094,1.10373345771153E-19,3059,30.59
666950,666.95,993.985473632812,1.10373345771153E-19,3059,30.59
667080,667.08,993.976013183594,1.10373345771153E-19,3060,30.6
667210,667.21,993.999084472656,1.10373345771153E-19,3059,30.59
667340,667.34,994.007263183594,1.10373345771153E-19,3060,30.6
667500,667.5,993.966491699219,1.10373345771153E-19,3060,30.6
667630,667.63,994.007629394531,1.10373345771153E-19,3060,30.6
667780,667.78,994.011047363281,1.10373345771153E-19,3060,30.6
667910,667.91,994.022644042969,1.10373345771153E-19,3061,30.61
668040,668.04,994.012451171875,1.10373345771153E-19,3061,30.61
668170,668.17,994.009399414063,1.10373345771153E-19,3062,30.62
668300,668.3,993.991333007813,1.10373345771153E-19,3061,30.61
668430,668.43,994.001892089844,1.10373345771153E-19,3061,30.61
668570,668.57,993.958068847656,1.10373345771153E-19,3061,30.61
668700,668.7,993.995056152344,1.10373345771153E-19,3061,30.61
668830,668.83,993.99169921875,1.10373345771153E-19,3061,30.61
668960,668.96,994.001159667969,1.10373345771153E-19,3061,30.61
669100,669.1,993.998107910156,1.10373345771153E-19,3061,30.61
669230,669.23,994.017456054688,1.10373345771153E-19,3060,30.6
669360,669.36,994.017150878906,1.10373345771153E-19,3060,30.6
669490,669.49,994.006225585938,1.10373345771153E-19,3059,30.59
669620,669.62,994.020202636719,1.10373345771153E-19,3060,30.6
669750,669.75,994.040588378906,1.10373345771153E-19,3060,30.6
669880,669.88,994.041625976563,1.10373345771153E-19,3060,30.6
670010,670.01,994.020202636719,1.10373345771153E-19,3060,30.6
670140,670.14,993.991577148437,1.10373345771153E-19,3059,30.59
670290,670.29,994.006225585938,1.10373345771153E-19,3059,30.59
670430,670.43,994.050048828125,1.10373345771153E-19,3059,30.59
670560,670.56,993.981750488281,1.10373345771153E-19,3059,30.59
670690,670.69,994.019104003906,1.10373345771153E-19,3059,30.59
670830,670.83,994.024536132813,1.10373345771153E-19,3058,30.58
670990,670.99,994.038146972656,1.10373345771153E-19,3058,30.58
671120,671.12,993.995971679687,1.10373345771153E-19,3057,30.57
671250,671.25,993.996276855469,1.10373345771153E-19,3057,30.57
671380,671.38,994.031005859375,1.10373345771153E-19,3058,30.58
671510,671.51,994.034729003906,1.10373345771153E-19,3058,30.58
671640,671.64,993.978942871094,1.10373345771153E-19,3057,30.57
671800,671.8,994.008239746094,1.10373345771153E-19,3058,30.58
671930,671.93,994.001098632813,1.10373345771153E-19,3058,30.58
672060,672.06,994.028259277344,1.10373345771153E-19,3058,30.58
672190,672.19,993.984436035156,1.10373345771153E-19,3058,30.58
672320,672.32,994.011657714844,1.10373345771153E-19,3058,30.58
672450,672.45,994.035400390625,1.10373345771153E-19,3058,30.58
672580,672.58,994.035095214844,1.10373345771153E-19,3058,30.58
672710,672.71,994.0595703125,1.10373345771153E-19,3059,30.59
672840,672.84,994.045288085938,1.10373345771153E-19,3058,30.58
672970,672.97,994.008239746094,1.10373345771153E-19,3058,30.58
673110,673.11,994.052795410156,1.10373345771153E-19,3059,30.59
673240,673.24,994.031311035156,1.10373345771153E-19,3058,30.58
673370,673.37,993.994262695312,1.10373345771153E-19,3058,30.58
673500,673.5,993.980712890625,1.10373345771153E-19,3058,30.58
673630,673.63,994.023254394531,1.10373345771153E-19,3059,30.59
673770,673.77,994.036804199219,1.10373345771153E-19,3059,30.59
673900,673.9,994.026977539063,1.10373345771153E-19,3060,30.6
674030,674.03,994.02734375,1.10373345771153E-19,3060,30.6
674160,674.16,994.023559570313,1.10373345771153E-19,3060,30.6
674290,674.29,994.011352539063,1.10373345771153E-19,3061,30.61
674460,674.46,994.045715332031,1.10373345771153E-19,3061,30.61
674590,674.59,994.014770507813,1.10373345771153E-19,3061,30.61
